Val,Freq
0.0005,118
0.001,63
0.0015,48
0.002,36
0.0025000002,42
0.0030000003,31
0.0035,25
0.004,28
0.0045000003,36
0.0050000004,22
0.0055000004,25
0.0060000005,26
0.0065,15
0.007,20
0.0075000003,21
0.008,17
0.0085,12
0.009000001,16
0.009500001,17
0.010000001,24
0.010500001,20
0.011000001,11
0.011500001,15
0.012000001,4
0.0125,8
0.013,12
0.0135,14
0.014,6
0.0145000005,12
0.015000001,16
0.015500001,9
0.016,9
0.0165,21
0.016999999,9
0.0175,13
0.018,18
0.0185,11
0.019,17
0.0195,8
0.02,9
0.0205,9
0.021,14
0.0215,7
0.022,9
0.0225,9
0.023,8
0.023500001,5
0.024,11
0.0245,21
0.025,6
0.0255,10
0.026,8
0.0265,16
0.027,10
0.0275,12
0.028,6
0.0285,7
0.029000001,12
0.0295,6
0.030000001,8
0.0305,10
0.031000001,7
0.0315,5
0.032,12
0.032500003,8
0.033000004,12
0.0335,9
0.034,7
0.034500003,9
0.035000004,8
0.0355,8
0.036000002,12
0.036500003,9
0.037000004,12
0.0375,6
0.038000003,12
0.038500004,13
0.039000005,5
0.0395,11
0.040000003,11
0.040500004,10
0.041,8
0.041500002,12
0.042000003,14
0.042500004,13
0.043,5
0.043500002,8
0.044000003,16
0.044500005,7
0.045,6
0.045500003,11
0.046000004,10
0.046500005,5
0.047000002,1
0.047500003,10
0.048000004,10
0.0485,10
0.049000002,9
0.049500003,5
0.050000004,7
0.0505,8
0.051000003,9
0.051500004,5
0.052000005,4
0.052500002,5
0.053000003,5
0.053500004,4
0.054000005,8
0.054500002,11
0.055000003,8
0.055500004,6
0.056000005,3
0.056500003,7
0.057000004,5
0.057500005,5
0.058000002,6
0.058500003,8
0.059000004,9
0.059500005,8
0.060000002,6
0.060500003,8
0.061000004,6
0.061500005,9
0.062000003,3
0.0625,1
0.063,6
0.0635,8
0.064,10
0.064500004,10
0.065000005,8
0.065500006,6
0.06600001,6
0.0665,6
0.067,8
0.0675,7
0.068,11
0.068500005,10
0.069000006,5
0.06950001,5
0.07000001,6
0.0705,4
0.071,2
0.0715,3
0.072000004,10
0.072500005,8
0.07300001,12
0.07350001,4
0.074,3
0.0745,5
0.075,3
0.075500004,9
0.076000005,7
0.076500006,4
0.07700001,4
0.07750001,3
0.078,5
0.0785,6
0.079,7
0.079500005,10
0.080000006,9
0.08050001,6
0.08100001,6
0.0815,6
0.082,6
0.0825,11
0.083000004,9
0.083500005,5
0.08400001,6
0.08450001,12
0.08500001,5
0.0855,3
0.086,5
0.086500004,8
0.087000005,4
0.087500006,2
0.08800001,6
0.08850001,4
0.089,3
0.0895,5
0.09,5
0.090500005,6
0.091000006,6
0.09150001,3
0.09200001,6
0.09250001,9
0.093,8
0.0935,9
0.094000004,8
0.094500005,4
0.095000006,4
0.09550001,4
0.09600001,4
0.0965,3
0.097,1
0.097500004,10
0.098000005,9
0.098500006,7
0.09900001,6
0.09950001,3
0.10000001,5
0.1005,3
0.101,5
0.101500005,7
0.102000006,6
0.10250001,3
0.10300001,3
0.10350001,6
0.10400001,6
0.1045,4
0.105000004,5
0.105500005,2
0.106000006,8
0.10650001,3
0.10700001,4
0.10750001,5
0.108,3
0.108500004,6
0.109000005,2
0.109500006,3
0.11000001,9
0.11050001,6
0.11100001,6
0.11150001,2
0.112,4
0.112500004,4
0.113000005,1
0.11350001,4
0.11400001,3
0.11450001,4
0.11500001,8
0.1155,3
0.116000004,6
0.116500005,3
0.117000006,3
0.11750001,5
0.11800001,3
0.11850001,6
0.11900001,4
0.119500004,3
0.120000005,4
0.120500006,5
0.12100001,7
0.12150001,4
0.12200001,5
0.12250001,8
0.123,3
0.123500004,2
0.124000005,6
0.12450001,5
0.125,4
0.1255,3
0.126,5
0.1265,5
0.127,4
0.1275,5
0.128,5
0.1285,5
0.129,5
0.1295,3
0.13,4
0.1305,3
0.131,5
0.1315,6
0.132,3
0.1325,5
0.133,6
0.1335,7
0.134,1
0.1345,3
0.135,4
0.1355,8
0.136,5
0.1365,5
0.137,4
0.1375,3
0.138,0
0.1385,6
0.139,3
0.1395,3
0.14,7
0.1405,3
0.141,4
0.1415,5
0.142,2
0.1425,0
0.143,1
0.1435,7
0.144,5
0.1445,1
0.145,4
0.1455,1
0.146,3
0.1465,3
0.147,5
0.1475,8
0.148,0
0.1485,4
0.149,3
0.1495,5
0.15,0
0.1505,2
0.15100001,1
0.1515,5
0.152,3
0.1525,3
0.153,8
0.1535,6
0.154,3
0.15450001,3
0.155,3
0.1555,2
0.156,1
0.1565,1
0.157,5
0.1575,0
0.158,3
0.1585,4
0.159,7
0.1595,5
0.16,4
0.1605,3
0.161,3
0.1615,3
0.162,1
0.1625,8
0.163,6
0.1635,7
0.164,3
0.1645,6
0.165,4
0.1655,7
0.16600001,5
0.1665,4
0.167,5
0.1675,5
0.168,1
0.1685,1
0.169,3
0.16950001,7
0.17,3
0.1705,5
0.171,5
0.1715,6
0.172,2
0.1725,3
0.17300001,9
0.1735,1
0.174,3
0.1745,4
0.175,6
0.1755,2
0.176,4
0.17650001,7
0.177,3
0.1775,5
0.178,3
0.1785,6
0.179,3
0.1795,5
0.18,6
0.1805,5
0.18100001,2
0.1815,3
0.182,4
0.1825,1
0.183,7
0.1835,7
0.184,3
0.18450001,4
0.185,2
0.1855,5
0.186,4
0.1865,5
0.187,0
0.1875,1
0.18800001,4
0.1885,4
0.189,7
0.1895,2
0.19,6
0.1905,4
0.191,4
0.19150001,4
0.192,5
0.1925,4
0.193,3
0.1935,4
0.194,2
0.1945,2
0.19500001,7
0.1955,2
0.19600001,4
0.1965,1
0.197,7
0.1975,5
0.198,1
0.1985,5
0.199,1
0.19950001,7
0.2,4
0.2005,4
0.201,3
0.2015,5
0.202,3
0.2025,3
0.20300001,3
0.2035,5
0.204,6
0.2045,2
0.205,2
0.2055,2
0.206,3
0.20650001,7
0.207,5
0.20750001,3
0.208,2
0.2085,2
0.209,4
0.2095,4
0.21000001,1
0.2105,3
0.21100001,2
0.2115,4
0.212,4
0.2125,3
0.213,4
0.21350001,6
0.214,5
0.21450001,3
0.215,3
0.2155,3
0.216,4
0.2165,2
0.21700001,2
0.2175,4
0.21800001,2
0.2185,2
0.219,3
0.2195,3
0.22,6
0.2205,1
0.221,3
0.22150001,4
0.222,2
0.22250001,4
0.223,4
0.2235,2
0.224,2
0.2245,6
0.22500001,5
0.2255,3
0.22600001,4
0.2265,1
0.227,1
0.2275,4
0.228,4
0.22850001,4
0.229,3
0.22950001,8
0.23,3
0.2305,7
0.231,6
0.2315,6
0.23200001,4
0.2325,2
0.23300001,1
0.2335,3
0.234,3
0.2345,4
0.235,3
0.23550001,2
0.236,2
0.23650001,5
0.237,5
0.23750001,4
0.238,1
0.2385,1
0.23900001,3
0.2395,3
0.24000001,3
0.2405,1
0.24100001,4
0.2415,3
0.242,2
0.2425,3
0.243,4
0.24350001,3
0.244,2
0.24450001,8
0.245,5
0.2455,4
0.246,3
0.2465,2
0.24700001,4
0.2475,2
0.24800001,1
0.2485,1
0.249,6
0.2495,1
0.25,1
0.2505,7
0.25100002,11
0.2515,3
0.252,2
0.2525,3
0.253,4
0.2535,6
0.254,2
0.2545,3
0.255,6
0.25550002,7
0.256,5
0.2565,3
0.257,2
0.2575,3
0.25800002,6
0.2585,2
0.259,0
0.2595,4
0.26000002,2
0.2605,3
0.261,4
0.2615,4
0.262,1
0.26250002,3
0.263,3
0.2635,2
0.264,5
0.2645,3
0.26500002,5
0.2655,3
0.266,2
0.2665,4
0.26700002,5
0.2675,4
0.268,2
0.2685,2
0.269,4
0.26950002,6
0.27,3
0.2705,3
0.271,3
0.27150002,1
0.272,3
0.2725,6
0.273,6
0.2735,1
0.27400002,3
0.2745,2
0.275,1
0.2755,1
0.276,3
0.27650002,5
0.277,1
0.2775,3
0.278,3
0.27850002,5
0.279,3
0.2795,7
0.28,1
0.2805,1
0.28100002,3
0.2815,1
0.282,3
0.2825,0
0.283,3
0.28350002,3
0.284,2
0.2845,3
0.285,4
0.28550002,3
0.286,1
0.2865,3
0.287,5
0.2875,4
0.28800002,3
0.2885,5
0.289,3
0.2895,7
0.29000002,1
0.29050002,4
0.291,3
0.2915,1
0.292,1
0.29250002,5
0.293,2
0.2935,4
0.294,2
0.2945,4
0.29500002,4
0.2955,3
0.296,5
0.2965,3
0.29700002,2
0.2975,1
0.298,4
0.2985,4
0.299,3
0.29950002,4
0.3,3
0.3005,1
0.301,5
0.30150002,2
0.30200002,4
0.3025,4
0.303,4
0.3035,1
0.30400002,2
0.3045,2
0.305,3
0.3055,3
0.306,1
0.30650002,4
0.307,3
0.3075,3
0.308,4
0.30850002,3
0.30900002,3
0.3095,4
0.31,3
0.3105,5
0.31100002,4
0.3115,1
0.312,2
0.3125,5
0.313,4
0.31350002,3
0.314,1
0.3145,2
0.315,3
0.31550002,1
0.316,5
0.3165,1
0.317,4
0.3175,4
0.31800002,7
0.3185,2
0.319,5
0.3195,3
0.32000002,2
0.32050002,1
0.321,2
0.3215,2
0.322,3
0.32250002,3
0.323,1
0.3235,3
0.324,0
0.3245,2
0.32500002,3
0.3255,2
0.326,0
0.3265,2
0.32700002,4
0.32750002,2
0.328,0
0.3285,3
0.329,4
0.32950002,2
0.33,4
0.3305,2
0.331,2
0.33150002,5
0.33200002,2
0.3325,4
0.333,7
0.3335,5
0.33400002,4
0.3345,4
0.335,5
0.3355,1
0.336,2
0.33650002,3
0.337,3
0.3375,2
0.338,2
0.33850002,6
0.33900002,6
0.3395,2
0.34,7
0.3405,2
0.34100002,4
0.3415,4
0.342,3
0.3425,3
0.34300002,2
0.34350002,5
0.344,3
0.3445,6
0.345,5
0.34550002,1
0.34600002,3
0.3465,3
0.347,6
0.3475,3
0.34800002,5
0.3485,1
0.349,6
0.3495,8
0.35000002,4
0.35050002,3
0.351,1
0.3515,3
0.352,1
0.35250002,7
0.35300002,3
0.3535,0
0.354,3
0.3545,1
0.35500002,3
0.3555,1
0.356,3
0.3565,4
0.35700002,4
0.35750002,6
0.358,3
0.3585,2
0.359,4
0.35950002,0
0.36,3
0.3605,2
0.361,6
0.36150002,4
0.36200002,1
0.3625,2
0.363,3
0.3635,0
0.36400002,2
0.36450002,4
0.365,2
0.3655,6
0.366,1
0.36650002,5
0.367,3
0.3675,2
0.368,3
0.36850002,2
0.36900002,4
0.3695,1
0.37,2
0.3705,2
0.37100002,2
0.37150002,2
0.372,4
0.3725,4
0.37300003,2
0.37350002,4
0.374,7
0.3745,6
0.375,3
0.37550002,4
0.37600002,3
0.3765,1
0.377,4
0.3775,3
0.37800002,2
0.3785,3
0.379,0
0.3795,1
0.38000003,3
0.38050002,5
0.381,4
0.3815,0
0.382,3
0.38250002,2
0.38300002,3
0.3835,0
0.384,5
0.3845,3
0.38500002,4
0.3855,2
0.386,7
0.3865,1
0.38700002,4
0.38750002,5
0.388,1
0.3885,4
0.389,0
0.38950002,4
0.39000002,2
0.3905,5
0.391,4
0.39150003,3
0.39200002,3
0.3925,4
0.393,3
0.3935,1
0.39400002,0
0.39450002,4
0.395,3
0.3955,3
0.396,2
0.39650002,0
0.397,7
0.3975,3
0.398,2
0.39850003,4
0.39900002,2
0.3995,3
0.4,6
0.4005,3
0.40100002,3
0.40150002,3
0.402,3
0.4025,5
0.40300003,5
0.40350002,6
0.404,2
0.4045,2
0.405,2
0.40550002,4
0.40600002,4
0.4065,3
0.407,1
0.4075,3
0.40800002,3
0.40850002,5
0.409,2
0.4095,2
0.41000003,5
0.41050002,6
0.411,2
0.4115,2
0.412,7
0.41250002,5
0.41300002,3
0.4135,3
0.414,6
0.41450003,6
0.41500002,5
0.41550002,4
0.416,4
0.4165,1
0.41700003,2
0.41750002,4
0.418,3
0.4185,2
0.419,2
0.41950002,1
0.42000002,3
0.4205,3
0.421,3
0.42150003,1
0.42200002,3
0.4225,4
0.423,5
0.4235,4
0.42400002,4
0.42450002,2
0.425,1
0.4255,3
0.426,1
0.42650002,4
0.42700002,2
0.4275,0
0.428,4
0.42850003,2
0.42900002,3
0.4295,2
0.43,6
0.4305,1
0.43100002,3
0.43150002,3
0.432,5
0.4325,1
0.43300003,1
0.43350002,1
0.43400002,6
0.4345,4
0.435,3
0.43550003,2
0.43600002,2
0.4365,3
0.437,4
0.4375,2
0.43800002,3
0.43850002,6
0.439,4
0.4395,1
0.44000003,2
0.44050002,5
0.441,2
0.4415,4
0.442,7
0.44250003,6
0.44300002,3
0.4435,1
0.444,1
0.44450003,3
0.44500002,2
0.44550002,3
0.446,2
0.4465,3
0.44700003,3
0.44750002,3
0.448,4
0.4485,2
0.449,1
0.44950002,5
0.45000002,3
0.4505,2
0.451,3
0.45150003,6
0.45200002,4
0.45250002,7
0.453,5
0.4535,1
0.45400003,2
0.45450002,1
0.455,1
0.4555,3
0.45600003,9
0.45650002,5
0.45700002,4
0.4575,0
0.458,2
0.45850003,1
0.45900002,0
0.4595,1
0.46,3
0.4605,3
0.46100003,5
0.46150002,1
0.462,2
0.4625,0
0.46300003,6
0.46350002,3
0.46400002,3
0.4645,1
0.465,6
0.46550003,4
0.46600002,2
0.4665,2
0.467,3
0.4675,3
0.46800002,4
0.46850002,4
0.469,2
0.4695,4
0.47000003,5
0.47050002,4
0.47100002,5
0.4715,3
0.472,7
0.47250003,3
0.47300002,3
0.4735,2
0.474,3
0.47450003,1
0.47500002,1
0.47550002,3
0.476,3
0.4765,4
0.47700003,4
0.47750002,1
0.47800002,4
0.4785,3
0.479,3
0.47950003,2
0.48000002,4
0.4805,7
0.481,6
0.48150003,4
0.48200002,4
0.48250002,2
0.483,2
0.4835,3
0.48400003,1
0.48450002,2
0.485,4
0.4855,4
0.48600003,2
0.48650002,2
0.48700002,3
0.4875,4
0.488,0
0.48850003,4
0.48900002,3
0.48950002,3
0.49,2
0.4905,6
0.49100003,5
0.49150002,4
0.492,5
0.4925,3
0.49300003,6
0.49350002,2
0.49400002,4
0.4945,2
0.495,1
0.49550003,7
0.49600002,0
0.49650002,5
0.497,5
0.4975,4
0.49800003,3
0.49850002,1
0.499,2
0.4995,3
