Lambda,Val
1,0.9794850051440398
1,0.09144353550783368
1,0.14374306346179894
1,0.6320047036594831
1,0.06538106122660213
1,0.05396238615396851
1,0.3978751771330398
1,3.2781193768082657
1,0.38911846113345
1,0.06159688278065662
1,0.05817921307738173
1,1.1025543035220073
1,1.0858479927469187
1,0.3119329241514544
1,0.5438296670666287
1,0.037215952035402594
1,0.7449420595198866
1,1.7733172466573275
1,0.01804051210815443
1,0.27378465092379817
1,0.2731117563039066
1,0.21928776200854116
1,0.6843266249314264
1,0.3297086457239826
1,0.7759478177341771
1,1.7495616615582354
1,0.3213801358256792
1,0.09243767888107439
1,0.3897995267024188
1,0.11056764149864222
1,0.813176897856552
1,0.14392529764874087
1,0.5204073165092993
1,0.3235781862641503
1,0.6552712587620197
1,0.07041525380066879
1,1.1786604508894643
1,0.42714830432922785
1,0.4283034715535134
1,0.15946800687091933
1,0.5899737522302344
1,0.3004573716890139
1,0.25779138694988724
1,0.6240384953579153
1,0.5706751494225539
1,0.2851104438711147
1,0.4482830040148417
1,0.03771467046820247
1,0.751277991667895
1,0.10377582294102786
1,0.6373352702078906
1,0.6199589180605366
1,0.9200369513205644
1,0.2556810853821105
1,1.11310427854802
1,0.2326335036661297
1,0.24541901552860984
1,0.08505642111300804
1,0.7529793053045678
1,0.4082841031197321
1,0.16688187508068386
1,0.48031928342331887
1,0.279207575581198
1,0.8965747447905024
1,0.7400808370463148
1,0.6385799126560027
1,0.7194960684534603
1,0.356227851579576
1,0.09841190564453955
1,0.308032858350918
1,1.9471494888154939
1,1.0675905803916887
1,0.7469384050468107
1,0.11863440458736499
1,0.9629350385177902
1,0.20956101452486614
1,0.2488113106187371
1,0.35370493862414504
1,0.13447518039236347
1,1.2696272770393087
1,1.8662098498593467
1,0.42828519826282146
1,0.37795621424948733
1,0.3082095304809089
1,0.8554122201311904
1,0.6986703589705696
1,0.07059849258344146
1,1.7885240181733342
1,0.4657115625074753
1,1.2490231270643417
1,0.28271426121998683
1,0.05981355918180774
1,0.4276168252336425
1,0.1618182501414848
1,0.010348126144511388
1,0.3445402397762303
1,0.1854671950159487
1,0.6030233982358448
1,0.31382164659095585
1,0.011670477143676253
2,0.8281072072984262
2,0.16342531163289004
2,0.05025349743392638
2,0.15324168620998715
2,0.12304101786292791
2,0.3137203923841395
2,0.002212154555250052
2,0.047430131316791635
2,0.10785768568449319
2,0.30111562496608874
2,0.22857251663061806
2,0.25200188053418143
2,0.038909692161812635
2,0.3054352442057505
2,0.3872315293905218
2,0.02845697327428372
2,0.3341319422406491
2,0.5068370193604047
2,0.13445463583114067
2,0.7698395244074585
2,0.7653154584690407
2,0.12230767403967753
2,0.033188254190769484
2,0.11049928565462017
2,0.37329531325952164
2,0.03158089856185659
2,0.10379854611660473
2,0.4644610729450404
2,0.11997573948544119
2,0.2326289708615226
2,0.31116515321426863
2,0.17640301984018794
2,0.06293621398362584
2,0.166502442376127
2,0.33978674863222635
2,0.024314309705948566
2,0.6361019286397229
2,0.8759593970165785
2,0.13056353880188393
2,0.08146077428102264
2,0.05169013196817328
2,0.07720047810681674
2,0.06777522714463084
2,0.7442628621007691
2,0.3102704129872599
2,0.047380441849539476
2,0.18091691287885547
2,0.17034860886935513
2,0.6146487177437494
2,0.2901097233790772
2,0.46162275681712944
2,0.014408577355112574
2,0.042996492469286635
2,0.3732825165643931
2,0.12710828588712006
2,0.18113202116789814
2,0.49502270880564253
2,0.1874102701959384
2,0.2891258767437004
2,0.0801757379582928
2,0.20588038339017062
2,0.10664602644693276
2,0.02653217034893586
2,0.15884984949867736
2,0.18271174745980398
2,0.2890809355950112
2,0.1232562077114253
2,0.01893343902211507
2,0.32958106065588316
2,0.45857480976497117
2,0.015207644424853239
2,0.07069607274846244
2,0.34028678220655173
2,0.0183511857630744
2,0.6132852406615219
2,0.22577740960037476
2,0.035789351106951674
2,0.23734485422648163
2,0.23540983375235858
2,0.2866059070575879
2,0.33513674302670876
2,0.2397382908026574
2,0.0582416379766676
2,0.17013595111970195
2,0.3424067718612351
2,0.21578288285797015
2,0.0316451135148355
2,0.373733082649303
2,0.18342621427703995
2,0.16584487418862606
2,0.28632185273099514
2,0.4238227356906264
2,0.7732143385220052
2,0.08675644989201856
2,0.002757101846405907
2,0.3405193371093655
2,0.3011639500803615
2,0.19725792834702238
2,0.08417280652209025
2,0.20584226732701927
3,0.04767466905717591
3,0.024993172055014164
3,0.3172964639766322
3,0.0708184490918432
3,0.009058129029558248
3,0.04187497741483451
3,0.14062856421844686
3,0.03689062123298667
3,0.03453195002625741
3,0.08848370684196531
3,0.10667821659787814
3,0.18219663754334234
3,0.0789370732408426
3,0.06439706349449804
3,0.3866694866348535
3,0.31193848030101495
3,0.11999916061838854
3,0.03525746456031694
3,0.14828326894995575
3,0.014928610950703186
3,0.009235187041341767
3,0.035418777885629034
3,0.2696151391852658
3,0.0765394011543566
3,0.04254048516999514
3,0.14953990914517548
3,0.023572206246616597
3,0.027315601945351
3,0.034668256312206734
3,0.007651307658463578
3,0.03945745993265735
3,0.09211966256753
3,0.010243368904161842
3,0.0073851415584215855
3,0.13924949835381903
3,0.09121895484196196
3,0.014825885106032723
3,0.08601400506957309
3,0.023862628181358828
3,0.5066282786356406
3,0.039373847687345594
3,0.1608255981901132
3,0.2524966083240537
3,0.07105492620836275
3,0.022870439615786525
3,0.017354795886431143
3,0.04639883418741428
3,0.10796185517145229
3,0.08075000507730135
3,0.4223399377848677
3,0.1387695158137585
3,0.07337473255569253
3,0.393798961651193
3,0.07110378564767637
3,0.5375668584326118
3,0.24710965226491857
3,0.2595356602664801
3,0.2831169384870838
3,0.0467157837918156
3,0.0573690751924112
3,0.11344554761550335
3,0.04649988722030682
3,0.14186225110060927
3,0.32018573470239653
3,0.03238687528697092
3,0.019484173349319577
3,0.09058450114793737
3,0.24607512751295438
3,0.047803018509695955
3,0.0671049515149996
3,0.06830058290699285
3,0.005190930822409638
3,0.08558810252237443
3,0.07668014019955688
3,0.27461011086707793
3,0.3467208001983721
3,0.008487310552996606
3,0.45347298083363025
3,0.06125589676995213
3,0.24044774981200998
3,0.1404361645530087
3,0.012768380993203316
3,0.07164713746471953
3,0.05246842768615889
3,0.15179943547319705
3,0.06131429482063075
3,0.008793800707584771
3,0.023144666630901135
3,0.08187876350182817
3,0.06536159632458348
3,0.014492792269970007
3,0.08290552782062349
