Val1,Val2
0.33961216,1.0917137
0.36672366,0.31035027
0.21322744,0.5042918
0.44563752,0.28091747
0.04139501,0.20372918
0.0025951965,0.50623554
0.04957771,0.08687738
1.9045662,0.123054706
0.15071478,0.29380736
0.6105003,1.0405259
0.10261826,0.26346728
0.5217703,0.9028934
0.8075563,0.10307665
0.8501934,2.2591045
0.28148437,0.17536052
2.1849327,0.12255539
1.0758513,1.3132683
0.37017024,0.31369668
0.5521525,0.15284798
0.124194756,0.34785953
0.7776629,0.097056575
0.10521446,0.54682404
0.13000971,1.2045703
0.11829263,0.46895462
0.26781994,1.0195154
0.3174674,0.26736695
0.3583387,0.0516409
0.2445609,0.0838888
0.5278158,0.50663745
0.8444636,0.141567
0.058751944,0.31511438
0.042848278,0.16087836
0.38546887,1.049855
0.19849962,0.48172414
0.42459726,0.08463636
0.35922667,0.2460148
0.4142453,0.011295622
0.036826942,0.8422863
0.400502,0.024804
0.13897307,0.6538493
0.157247,0.292838
1.1811786,0.8329933
0.22665486,0.7382354
0.054879326,0.46743032
0.5077058,0.0719774
0.97702074,1.6989126
0.1481208,0.5268224
1.1297885,0.25693846
0.010010197,0.30955184
0.015273302,0.14980422
0.84992063,0.9319285
0.6279442,1.211739
0.061359406,1.0584193
1.5390218,0.12139413
0.22147562,0.068093345
0.74882734,0.16155188
0.8412231,0.5070752
0.61352766,0.69721043
0.6149364,0.010773474
0.024747817,1.181023
0.50132453,0.3808959
0.3859679,0.11328693
0.59509385,1.194349
0.489929,0.13577688
1.5346961,1.1700641
0.5741864,0.44670275
0.99864525,0.9077641
0.5393661,0.09054393
0.069912136,0.4252722
0.35402462,0.4234128
0.4852352,0.15324318
0.03138285,0.34407547
0.39745516,0.43220997
1.2656951,0.026069956
0.52040046,0.1093714
0.64722675,0.2636764
0.86828864,0.34366372
0.8101811,0.6658097
0.030658955,0.019158442
0.15797442,1.4601095
0.3724896,0.27257508
0.32408434,0.40582824
0.526903,0.2876259
0.28028762,0.021816146
0.5989899,0.18217093
0.80283517,0.8625194
0.039885286,0.5267826
0.06960856,0.104615785
0.33784324,0.9514721
1.6588686,0.46896052
1.0666345,0.229915
0.3294084,0.70926183
0.14174104,0.64766884
0.4903704,0.66548777
0.18567356,0.44444466
0.4859419,0.22650303
0.2866747,0.41528022
0.4683423,0.49024612
1.8549674,0.49284425
0.188442,0.17673036
0.42587468,0.61394066
0.021789227,0.17993632
0.8179231,0.04068577
0.7351244,0.32160994
0.23752438,0.026792293
0.17484225,0.5684203
0.29519495,0.34816068
0.07594427,0.071828425
0.73878765,0.04661258
0.16210054,1.6265576
0.35514113,0.27606812
0.17781058,0.0014821943
0.6484051,0.5061611
0.22191328,0.6392787
0.19759443,0.085926294
0.9316489,0.04317127
0.016747782,0.44373074
0.22443092,0.45353243
0.62502426,0.8862595
0.3330147,0.59039026
0.9839441,0.21963796
0.2741235,0.18481651
0.50094193,0.3433987
0.085813366,0.3958013
0.18080106,0.06472695
0.22303075,1.0196311
0.35208583,0.55325913
0.8023393,0.43088713
1.2753294,0.65037745
0.301168,0.2657986
0.36988458,0.07479937
0.14744057,0.13528231
0.32018167,0.1232975
0.011403767,0.40833277
0.19215798,0.31669402
1.5065057,0.35689276
0.35086378,0.35044402
0.1853525,0.18923265
0.09725608,0.07470841
0.27891675,0.21281749
1.2137407,0.5614978
0.011020305,0.9139729
0.4298767,0.16357031
0.7257852,0.52106893
2.587256,0.6747468
0.38723427,0.29132465
0.096969195,0.2845024
0.39064777,0.029522292
1.3515211,0.059243225
1.0085086,0.93988645
0.24621503,0.053690422
0.33511174,0.12456624
0.16526505,0.071600646
0.23937337,0.07702756
1.0726583,1.1787381
0.23270479,0.08974683
0.16552266,0.37835702
0.257717,0.29952252
0.74618345,0.42778388
0.09008979,0.13659512
0.13444026,1.3049858
0.4042985,0.10944074
0.13392444,0.86300486
0.21996126,0.5215366
0.002198537,0.040951114
0.003977286,0.4689869
0.63225305,0.030678986
0.2235021,0.10099709
0.1672352,0.43341383
0.03757969,0.31601292
0.4056355,0.020246623
0.044414803,0.47825915
0.006330852,0.010617205
0.14019097,0.3767691
0.0072348462,0.29490942
0.5998354,0.63503927
0.68241274,0.43235838
0.4560951,0.09090909
0.04531347,0.39105242
1.3260286,0.09670391
0.31840515,0.11281744
0.3171086,0.30127895
0.1907588,0.7954895
0.001740821,1.2235341
1.4577017,0.14434652
0.112086914,0.44955832
0.54035836,0.033252254
0.46743137,0.03257705
0.65683955,1.4135197
0.7675361,0.06690804
0.08189148,0.0054935613
0.29787531,0.004241246
0.32242057,0.7004121
0.47463256,0.00086332625
0.6373792,0.5627788
1.0625564,0.022916064
0.103084594,0.39186436
0.6009906,0.0019221647
0.11102734,0.021053609
0.8123958,0.3574988
0.7544805,1.6091914
0.44273272,0.056981735
0.52224416,0.19759949
0.72224116,0.040219426
0.5060335,1.0114532
0.022737715,0.22706494
0.33442736,0.067548096
0.14603591,0.7892456
0.05635437,0.01768747
0.013331168,0.02953368
0.5222492,1.2993051
1.4618751,0.39837098
0.0062272972,0.5867653
0.08765935,1.5663419
0.26982874,0.53541714
0.13488424,0.02006801
