Val,Freq
0.11900000000000001,659
0.138,477
0.157,430
0.176,315
0.19499999999999998,260
0.214,202
0.23299999999999998,150
0.252,129
0.271,106
0.29000000000000004,85
0.30900000000000005,64
0.328,46
0.347,40
0.366,50
0.385,18
0.404,18
0.42300000000000004,16
0.44200000000000006,15
0.46099999999999997,14
0.48,12
0.499,15
0.518,7
0.537,6
0.556,4
0.575,2
0.594,2
0.613,2
0.632,2
0.651,4
0.6699999999999999,1
0.689,2
0.708,0
0.727,1
0.746,0
0.765,1
0.784,0
0.8029999999999999,0
0.822,0
0.841,0
0.86,0
0.879,0
0.898,0
0.9169999999999999,0
0.9359999999999999,0
0.955,0
0.974,0
0.993,0
1.012,0
1.031,0
1.0499999999999998,0
1.069,0
1.0879999999999999,0
1.107,0
1.126,0
1.145,0
1.164,0
1.183,0
1.202,0
1.2209999999999999,0
1.24,0
1.259,0
1.278,0
1.297,0
1.316,0
1.335,0
1.3539999999999999,0
1.373,0
1.392,0
1.411,0
1.43,0
1.449,0
1.468,0
1.4869999999999999,0
1.506,0
1.525,0
1.544,0
1.563,0
1.5819999999999999,0
1.601,0
1.6199999999999999,0
1.639,0
1.658,0
1.677,0
1.696,0
1.7149999999999999,0
1.734,0
1.753,0
1.772,0
1.791,0
1.81,0
1.829,0
1.8479999999999999,0
1.867,0
1.886,0
1.905,0
1.924,0
1.9429999999999998,0
1.962,0
1.9809999999999999,0
2,0
